"sp","A1","A2"
"Lophostoma brasiliense",-0.0633591934340054,-0.0113597479697746
"Lophostoma carrikeri",-0.0633591934340054,-0.0113597479697746
"Lophostoma silvicolum",-0.0633591934340054,-0.0113597479697746
"Macrophyllum macrophyllum",-0.0843318871352807,0.00143260643830621
"Micronycteris megalotis",-0.0426435869583391,-0.0244219688099036
"Micronycteris minuta",-0.0426435869583391,-0.0244219688099036
"Micronycteris sanborni",-0.0426435869583391,-0.0244219688099036
"Micronycteris schmidtorum",-0.0426435869583391,-0.0244219688099036
"Mimon bennettii",0.0216139447509592,-0.0330896323319268
"Mimon crenulatum",0.00763828820540675,-0.0481945778396752
"Phylloderma stenops",0.0958782605865879,-0.0515087163833843
"Phyllostomus discolor",0.0457493293783718,-0.11217226475908
"Phyllostomus elongatus",-0.0592833182429359,-0.049674468513812
"Phyllostomus hastatus",-0.0411980454705573,-0.0126418514067659
"Tonatia bidens",-0.0633591934340054,-0.0113597479697746
"Tonatia saurophila",-0.0633591934340054,-0.0113597479697746
"Trachops cirrhosus",-0.0556744412932727,-0.0132889891774898
"Vampyrum spectrum",0.0358552070515249,0.0452818931869173
"Artibeus cinereus",0.0908319270886703,-0.0713574504586729
"Artibeus concolor",0.0908319270886703,-0.0713574504586729
"Artibeus lituratus",0.0908319270886703,-0.0713574504586729
"Artibeus obscurus",0.0908319270886703,-0.0713574504586729
"Artibeus planirostris",0.0908319270886703,-0.0713574504586729
"Chiroderma villosum",0.0960932944937982,-0.0307576596027992
"Platyrrhinus lineatus",0.0800510505311866,-0.0377866051067058
"Pygoderma bilabiatum",0.0960932944937982,-0.0307576596027992
"Sturnira lilium",0.0960932944937982,-0.0307576596027992
"Sturnira tildae",0.0960932944937982,-0.0307576596027992
"Uroderma bilobatum",0.0908319270886703,-0.0713574504586728
"Uroderma magnirostrum",0.0908319270886703,-0.0713574504586728
"Myotis albescens",-0.0843318871352807,0.00143260643830622
"Myotis nigricans",-0.0843318871352807,0.00143260643830622
"Myotis riparius",-0.0843318871352807,0.00143260643830622
"Myotis ruber",-0.0843318871352807,0.00143260643830622
"Eptesicus brasiliensis",-0.0843318871352807,0.00143260643830622
"Eptesicus furinalis",-0.0843318871352807,0.00143260643830622
"Histiotus velatus",-0.0843318871352807,0.00143260643830621
"Lasiurus blossevillii",-0.0843318871352807,0.00143260643830621
"Lasiurus ega",-0.0843318871352807,0.00143260643830621
"Lasiurus egregius",-0.0843318871352807,0.00143260643830621
"Rhogeessa hussoni",-0.0843318871352807,0.00143260643830621
"Cerdocyon thous",-0.102745444194019,0.00163148034055002
"Speothos venaticus",0.0295886740141007,0.0811515364310961
"Leopardus pardalis",0.028433089903463,0.0888225812727814
"Leopardus tigrinus",0.0295886740141007,0.0811515364310961
"Leopardus wiedii",0.0662755342266605,0.0402436002767557
"Puma concolor",0.0295886740141007,0.0811515364310961
"Panthera onca",0.0287088491676578,0.0857936543809626
"Lontra longicaudis",0.00456279289305178,0.0334060710090362
"Eira barbara",0.0479252777606675,0.0601676651112947
"Galictis cuja",0.0347195430186581,0.00370532750750925
"Nasua nasua",0.0823282664324246,-0.0245948246545026
"Procyon cancrivorus",-0.0337294923810676,-0.00484410370673456
"Tapirus terrestris",0.055364663266565,0.124466543076538
"Mazama americana",0.0777567164950397,0.131605027293282
"Mazama gouazoubira",0.115071366497471,0.0517705236066235
"Pecari tajacu",0.0594319074276103,0.0879601854996615
"Tayassu pecari",0.100326763949023,0.00875294387218394
